iter	Passed	Remaining
0	1	119
1	2	108
2	3	102
3	3	93
4	4	91
5	5	89
6	6	88
7	7	86
8	8	85
9	9	84
10	10	82
11	11	81
12	12	80
13	12	79
14	13	79
15	14	78
16	15	77
17	16	76
18	17	76
19	18	75
20	19	73
21	20	72
22	21	71
23	22	70
24	23	70
25	24	69
26	25	68
27	26	67
28	27	66
29	28	65
30	29	64
31	30	63
32	30	62
33	31	61
34	32	60
35	33	59
36	34	58
37	35	57
38	35	56
39	36	55
40	37	54
41	37	52
42	38	51
43	39	50
44	40	49
45	41	48
46	42	47
47	42	46
48	43	45
49	44	44
50	45	43
51	46	42
52	46	41
53	47	40
54	48	39
55	48	38
56	49	37
57	50	36
58	51	35
59	52	34
60	52	33
61	53	32
62	54	32
63	55	31
64	56	30
65	57	29
66	58	28
67	58	27
68	59	26
69	60	25
70	61	25
71	62	24
72	62	23
73	63	22
74	64	21
75	65	20
76	65	19
77	66	18
78	67	17
79	68	17
80	69	16
81	69	15
82	70	14
83	71	13
84	72	12
85	73	11
86	74	11
87	75	10
88	75	9
89	76	8
90	77	7
91	78	6
92	79	5
93	80	5
94	81	4
95	82	3
96	83	2
97	83	1
98	84	0
99	85	0
